corpus,model,term,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Miami,Poisson_switch_count,Intercept,0.7027008813149485,0.0630406042229193,11.146798003872426,7.422966865358444e-29,0.579143567474383,0.8262581951555139
Miami,Poisson_switch_count,C(register)[T.Conversation in MAR's office],-0.04957574967017675,0.2741030075796057,-0.1808653984060311,0.8564732289556699,-0.5868077725803134,0.48765627323995986
Miami,Poisson_switch_count,C(register)[T.Informal conversation at Abel's house],0.04725615747262624,0.10464299433813659,0.4515940868427919,0.6515614306520223,-0.15784034266455027,0.25235265760980274
Miami,Poisson_switch_count,C(register)[T.Informal conversation at Florida International University],0.057631316959560586,0.091643648717894,0.6288631865473477,0.5294386288170436,-0.12198693393935195,0.23724956785847312
Miami,Poisson_switch_count,C(register)[T.Informal conversation at Julia's house],0.19801389138710435,0.08881722840160812,2.2294536200987682,0.025783737964525977,0.02393532251328445,0.37209246026092424
Miami,Poisson_switch_count,"C(register)[T.Informal conversation at Lily's house between Lily, who is pregnant, and her mother]",0.052796996399654406,0.1326387945301933,0.39805093665591124,0.6905926392786383,-0.20717026383233278,0.3127642566316416
Miami,Poisson_switch_count,C(register)[T.Informal conversation at Miguel's home],0.09727258061481259,0.08517531854950165,1.1420277877596703,0.2534424694397903,-0.06966797611393705,0.2642131373435622
Miami,Poisson_switch_count,"C(register)[T.Informal conversation between Luis and his mother Ava, at Luis's place of work]",-0.04283695748645162,0.08984668891817985,-0.47677836548280256,0.6335199529326763,-0.2189332318962581,0.13325931692335488
Miami,Poisson_switch_count,"C(register)[T.Informal conversation between MAR and OSE, probably at OSE's place]",0.03620725134679762,0.10945126889333248,0.33080704968422053,0.740790235548245,-0.1783132937463432,0.2507277964399384
Miami,Poisson_switch_count,C(register)[T.Informal conversation between Paola and her grandmother at a friend's house],0.2349174958146833,0.07901313748102218,2.9731447617949245,0.0029476539369092595,0.08005459204636797,0.3897803995829986
Miami,Poisson_switch_count,C(register)[T.Informal conversation between a couple at Florida International University],0.08460133155056047,0.08340512531070329,1.014342119089217,0.31041953276928314,-0.07886971018446808,0.248072373285589
Miami,Poisson_switch_count,C(register)[T.Informal conversation between a couple at their house],-0.08968079592070755,0.09166279197006755,-0.9783773109376025,0.3278877456442333,-0.2693365669044272,0.08997497506301211
Miami,Poisson_switch_count,C(register)[T.Informal conversation between a couple in their garden; their children join them for a while],-0.04405983069270442,0.13904246877768084,-0.31688038251933665,0.7513343680113803,-0.3165780618184938,0.22845840043308496
Miami,Poisson_switch_count,C(register)[T.Informal conversation between a couple in their living room],0.026944792039260704,0.08769996313058773,0.30723835082050316,0.758661956503762,-0.14494397714218185,0.19883356122070325
Miami,Poisson_switch_count,C(register)[T.Informal conversation between brother and sister],0.17221328803897137,0.15025078280173068,1.1461723182249386,0.25172385929700813,-0.12227283490137089,0.46669941097931367
